sample,epsilon,verdict,tag,seconds
66,0.02,verified,safe-incomplete,0.2056
66,0.03,verified,safe-incomplete,0.198
66,0.04,verified,safe,0.3307
66,0.05,verified,safe,0.5749
66,0.06,falsified,unsafe-pgd,0.0217
66,0.07,falsified,unsafe-pgd,0.0217
66,0.08,falsified,unsafe-pgd,0.0203
66,0.09,falsified,unsafe-pgd,0.0205
66,0.1,falsified,unsafe-pgd,0.0212
66,0.11,falsified,unsafe-pgd,0.0207
66,0.12,falsified,unsafe-pgd,0.0222
66,0.13,falsified,unsafe-pgd,0.0219
66,0.14,falsified,unsafe-pgd,0.0208
66,0.15,falsified,unsafe-pgd,0.021
66,0.16,falsified,unsafe-pgd,0.0204
66,0.17,falsified,unsafe-pgd,0.021
66,0.18,falsified,unsafe-pgd,0.02
66,0.19,falsified,unsafe-pgd,0.0205
66,0.2,falsified,unsafe-pgd,0.02
67,0.01,verified,safe-incomplete,0.2044
67,0.02,verified,safe-incomplete,0.21
67,0.03,verified,safe-incomplete,0.2075
67,0.04,verified,safe-incomplete,0.2777
67,0.05,verified,safe-incomplete,0.2024
67,0.06,verified,safe-incomplete,0.2114
67,0.07,verified,safe-incomplete,0.2092
67,0.08,verified,safe-incomplete,0.207
67,0.09,verified,safe-incomplete,0.1961
67,0.1,verified,safe-incomplete,0.1952
67,0.11,verified,safe-incomplete,0.2008
67,0.12,verified,safe-incomplete,0.203
67,0.13,verified,safe,0.3702
67,0.14,verified,safe,0.5556
67,0.15,verified,safe,0.9083
67,0.16,verified,safe,1.4389
67,0.17,verified,safe,2.6211
67,0.18,falsified,unsafe-pgd,0.0209
67,0.19,falsified,unsafe-pgd,0.0206
67,0.2,falsified,unsafe-pgd,0.0201
68,0.01,verified,safe-incomplete,0.2093
68,0.02,verified,safe-incomplete,0.2055
68,0.03,verified,safe-incomplete,0.2099
68,0.04,verified,safe-incomplete,0.2052
68,0.05,verified,safe-incomplete,0.1954
68,0.06,verified,safe-incomplete,0.2118
68,0.07,verified,safe-incomplete,0.2068
68,0.08,verified,safe-incomplete,0.2102
68,0.09,verified,safe-incomplete,0.2047
68,0.1,verified,safe-incomplete,0.2051
68,0.11,verified,safe-incomplete,0.2091
68,0.12,verified,safe-incomplete,0.2069
68,0.13,verified,safe-incomplete,0.2043
68,0.14,verified,safe-incomplete,0.2047
68,0.15,verified,safe-incomplete,0.2656
68,0.16,verified,safe-incomplete,0.208
68,0.17,verified,safe-incomplete,0.2031
68,0.18,verified,safe,0.4183
68,0.19,verified,safe,0.6259
68,0.2,verified,safe,0.9739
69,0.01,verified,safe-incomplete,0.2107
69,0.02,verified,safe-incomplete,0.2058
69,0.03,verified,safe-incomplete,0.2095
69,0.04,verified,safe-incomplete,0.2045
69,0.05,verified,safe-incomplete,0.1973
69,0.06,verified,safe-incomplete,0.2086
69,0.07,verified,safe-incomplete,0.2097
69,0.08,verified,safe-incomplete,0.2086
69,0.09,verified,safe-incomplete,0.2098
69,0.1,verified,safe-incomplete,0.2058
69,0.11,verified,safe-incomplete,0.2034
69,0.12,verified,safe-incomplete,0.2071
69,0.13,verified,safe-incomplete,0.2039
69,0.14,verified,safe-incomplete,0.2071
69,0.15,verified,safe-incomplete,0.2116
69,0.16,verified,safe-incomplete,0.2052
69,0.17,verified,safe-incomplete,0.2067
69,0.18,verified,safe-incomplete,0.2087
69,0.19,verified,safe-incomplete,0.2569
