sample,epsilon,verdict,tag,seconds
91,0.07,verified,safe-incomplete,0.205
91,0.08,verified,safe-incomplete,0.2082
91,0.09,verified,safe-incomplete,0.2086
91,0.1,verified,safe-incomplete,0.2057
91,0.11,verified,safe-incomplete,0.2094
91,0.12,verified,safe-incomplete,0.2043
91,0.13,verified,safe-incomplete,0.2035
91,0.14,verified,safe-incomplete,0.209
91,0.15,verified,safe-incomplete,0.2085
91,0.16,verified,safe,0.4751
91,0.17,verified,safe,0.3547
91,0.18,verified,safe,0.7008
91,0.19,verified,safe,0.9008
91,0.2,verified,safe,1.1237
92,0.01,verified,safe-incomplete,0.2031
92,0.02,verified,safe-incomplete,0.2054
92,0.03,verified,safe-incomplete,0.2054
92,0.04,falsified,unsafe-pgd,0.0207
92,0.05,falsified,unsafe-pgd,0.0116
92,0.06,falsified,unsafe-pgd,0.0207
92,0.07,falsified,unsafe-pgd,0.0204
